kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
1432789,992.02,CANDIDATE,4.578343670,6.3820000e-05,-6.3820000e-05,1.79,0.12,0.17,1.515,0.078,-0.074,1.132,0.089,-0.083
1432789,992.01,CANDIDATE,9.931463070,5.1860000e-05,-5.1860000e-05,2.99,0.20,0.16,1.515,0.078,-0.074,1.132,0.089,-0.083
1717722,3145.02,CANDIDATE,0.977311489,4.6310000e-06,-4.6310000e-06,1.01,0.08,0.05,0.656,0.018,-0.017,0.672,0.028,-0.026
1717722,3145.01,CANDIDATE,4.537021210,2.4980000e-05,-2.4980000e-05,1.58,0.38,0.15,0.656,0.018,-0.017,0.672,0.028,-0.026
1718189,993.02,CANDIDATE,13.060793600,1.0530000e-04,-1.0530000e-04,1.30,0.49,0.10,0.790,0.011,-0.010,0.853,0.025,-0.036
1718189,993.01,CANDIDATE,21.853629050,9.2260000e-05,-9.2260000e-05,1.58,0.34,0.10,0.790,0.011,-0.010,0.853,0.025,-0.036
1718189,993.03,CANDIDATE,86.723653000,1.7580000e-03,-1.7580000e-03,1.29,0.34,0.12,0.790,0.011,-0.010,0.853,0.025,-0.036
1724719,4212.01,CANDIDATE,5.791799340,3.3500000e-05,-3.3500000e-05,1.61,0.05,0.26,1.259,0.031,-0.033,1.235,0.046,-0.057
1724719,4212.02,CANDIDATE,10.098963400,1.1710000e-04,-1.1710000e-04,0.98,0.35,0.03,1.259,0.031,-0.033,1.235,0.046,-0.057
1871056,1001.01,CANDIDATE,40.806533300,2.0830000e-04,-2.0830000e-04,3.54,0.13,0.10,2.000,0.054,-0.053,1.426,0.065,-0.074
1871056,1001.02,CANDIDATE,140.107650000,1.8700000e-03,-1.8700000e-03,3.26,0.14,0.10,2.000,0.054,-0.053,1.426,0.065,-0.074
1996180,2534.01,CANDIDATE,3.025584940,1.2020000e-05,-1.2020000e-05,1.49,0.17,0.17,1.165,0.034,-0.033,1.118,0.060,-0.069
1996180,2534.02,CANDIDATE,5.422042570,6.8470000e-05,-6.8470000e-05,1.29,0.10,0.28,1.165,0.034,-0.033,1.118,0.060,-0.069
2161949,6259.01,CANDIDATE,4.781139420,6.0370000e-05,-6.0370000e-05,1.07,0.08,0.09,1.046,0.029,-0.029,0.943,0.075,-0.071
2161949,6259.02,CANDIDATE,7.188640640,7.7580000e-05,-7.7580000e-05,1.22,0.08,0.11,1.046,0.029,-0.029,0.943,0.075,-0.071
2165002,999.01,CANDIDATE,16.568068420,5.2260000e-05,-5.2260000e-05,2.62,0.12,0.09,0.737,0.021,-0.019,0.784,0.030,-0.037
2165002,999.02,CANDIDATE,47.332929900,3.4560000e-04,-3.4560000e-04,2.25,0.10,0.16,0.737,0.021,-0.019,0.784,0.030,-0.037
2302548,988.01,CANDIDATE,10.381224470,2.1310000e-05,-2.1310000e-05,2.14,0.06,0.08,0.766,0.013,-0.013,0.798,0.033,-0.043
