# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 19 13:12:41 2020
#
# User preference: *
#
# CONSTRAINT:  where (koi_pdisposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_period_str not null
# CONSTRAINT:  and koi_prad_str not null
# CONSTRAINT:  and koi_srad_str not null
# CONSTRAINT:  and koi_smass_str not null)
# CONSTRAINT:  order by kepoi_name asc, koi_period asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
11446443,K00001.01,CANDIDATE,2.470613377,2.7000000e-08,-2.7000000e-08,13.04,0.51,-5.100e-01,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560
10666592,K00002.01,CANDIDATE,2.204735417,4.3000000e-08,-4.3000000e-08,16.10,0.81,-9.100e-01,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910
10748390,K00003.01,CANDIDATE,4.887803076,4.6600000e-07,-4.6600000e-07,4.82,0.17,-1.800e-01,0.7630,0.0280,-0.0280,0.8300,0.0200,-0.0470
3861595,K00004.01,CANDIDATE,3.849371737,2.3440000e-06,-2.3440000e-06,12.94,1.80,-4.200e+00,2.9920,0.4160,-0.9710,1.4820,0.1310,-0.2610
8554498,K00005.01,CANDIDATE,4.780327581,8.5200000e-07,-8.5200000e-07,7.14,0.52,-3.100e-01,1.7870,0.1320,-0.0760,1.1970,0.1500,-0.0530
11853905,K00007.01,CANDIDATE,3.213668926,1.0900000e-06,-1.0900000e-06,4.13,0.26,-2.300e-01,1.5450,0.0970,-0.0870,1.0970,0.1380,-0.0690
6922244,K00010.01,CANDIDATE,3.522498429,1.9800000e-07,-1.9800000e-07,14.59,1.11,-1.110e+00,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780
5812701,K00012.01,CANDIDATE,17.855221681,3.6760000e-06,-3.6760000e-06,13.16,2.57,-6.500e-01,1.3670,0.2670,-0.0670,1.3860,0.0930,-0.0760
9941662,K00013.01,CANDIDATE,1.763587535,4.2000000e-08,-4.2000000e-08,21.42,6.33,-9.480e+00,3.0310,0.8950,-1.3420,2.4660,0.3490,-0.8720
10874614,K00017.01,CANDIDATE,3.234699282,1.1900000e-07,-1.1900000e-07,13.06,0.96,-9.600e-01,1.2910,0.0950,-0.0950,1.0470,0.0880,-0.0640
8191672,K00018.01,CANDIDATE,3.548465446,1.8300000e-07,-1.8300000e-07,14.92,1.08,-1.310e+00,1.7460,0.1260,-0.1540,1.3190,0.0840,-0.1370
11804465,K00020.01,CANDIDATE,4.437962934,1.7100000e-07,-1.7100000e-07,18.05,2.92,-3.570e+00,1.4150,0.2290,-0.2800,1.0930,0.1090,-0.0890
9631995,K00022.01,CANDIDATE,7.891448838,5.0600000e-07,-5.0600000e-07,12.63,2.13,-1.420e+00,1.2370,0.2090,-0.1390,1.1480,0.0710,-0.0790
6521045,K00041.01,CANDIDATE,12.815904210,1.9450000e-05,-1.9450000e-05,2.26,0.15,-1.200e-01,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680
6521045,K00041.02,CANDIDATE,6.887070730,2.2770000e-05,-2.2770000e-05,1.30,0.08,-7.000e-02,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680
6521045,K00041.03,CANDIDATE,35.333193200,2.2480000e-04,-2.2480000e-04,1.55,0.10,-8.000e-02,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680
8866102,K00042.01,CANDIDATE,17.833678340,1.3850000e-05,-1.3850000e-05,2.43,0.12,-1.400e-01,1.3370,0.0670,-0.0740,1.2080,0.0680,-0.0930
10905239,K00046.01,CANDIDATE,3.487688776,1.1050000e-06,-1.1050000e-06,5.64,0.83,-1.350e+00,1.5930,0.2350,-0.3820,1.0740,0.1080,-0.0970
10905239,K00046.02,CANDIDATE,6.029772410,6.2640000e-05,-6.2640000e-05,1.18,0.17,-2.900e-01,1.5930,0.2350,-0.3820,1.0740,0.1080,-0.0970
9527334,K00049.01,CANDIDATE,8.313773040,4.2060000e-05,-4.2060000e-05,2.74,0.43,-1.300e-01,0.9510,0.1520,-0.0450,1.0650,0.0590,-0.0740
11554435,K00063.01,CANDIDATE,9.434141710,2.1360000e-05,-2.1360000e-05,5.73,0.78,-3.300e-01,0.8860,0.1200,-0.0510,0.9430,0.0510,-0.0690
7051180,K00064.01,CANDIDATE,1.951082219,3.8880000e-06,-3.8880000e-06,10.35,0.77,-1.250e+00,2.4260,0.1810,-0.2930,1.2580,0.0700,-0.1510
3544595,K00069.01,CANDIDATE,4.726740370,1.5700000e-06,-1.5700000e-06,1.56,0.07,-7.000e-02,0.8940,0.0400,-0.0360,0.8660,0.0580,-0.0530
6850504,K00070.01,CANDIDATE,10.854095934,4.9770000e-06,-4.9770000e-06,2.99,0.33,-2.700e-01,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440
6850504,K00070.02,CANDIDATE,3.696121272,2.3940000e-06,-2.3940000e-06,1.78,0.19,-1.600e-01,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440
6850504,K00070.03,CANDIDATE,77.611442700,1.5360000e-04,-1.5360000e-04,2.59,0.29,-2.300e-01,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440
6850504,K00070.04,CANDIDATE,6.098556030,2.5360000e-05,-2.5360000e-05,0.84,0.09,-8.000e-02,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440
6850504,K00070.05,CANDIDATE,19.577607300,1.4270000e-04,-1.4270000e-04,0.90,0.10,-8.000e-02,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440
11904151,K00072.02,CANDIDATE,45.294222970,5.6000000e-05,-5.6000000e-05,2.26,0.12,-9.000e-02,1.0440,0.0570,-0.0420,0.8840,0.0690,-0.0420
7199397,K00075.01,CANDIDATE,105.881766700,1.3120000e-04,-1.3120000e-04,10.16,0.94,-1.270e+00,2.4990,0.2330,-0.3110,1.3010,0.0910,-0.1220
10187017,K00082.01,CANDIDATE,16.145671932,7.4400000e-06,-7.4400000e-06,2.48,0.16,-1.000e-01,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
10187017,K00082.02,CANDIDATE,10.311747860,1.2260000e-05,-1.2260000e-05,1.34,0.09,-5.000e-02,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
10187017,K00082.03,CANDIDATE,27.453614600,1.0770000e-04,-1.0770000e-04,0.95,0.06,-4.000e-02,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
10187017,K00082.04,CANDIDATE,7.071361190,3.0850000e-05,-3.0850000e-05,0.63,0.04,-2.000e-02,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
10187017,K00082.05,CANDIDATE,5.286919960,2.9470000e-05,-2.9470000e-05,0.51,0.03,-2.000e-02,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
10187017,K00082.06,CANDIDATE,22.409867700,1.6510000e-04,-1.6510000e-04,0.73,0.05,-3.000e-02,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490
2571238,K00084.01,CANDIDATE,9.286964466,3.8310000e-06,-3.8310000e-06,2.10,0.26,-1.000e-01,0.8100,0.0990,-0.0400,0.9070,0.0380,-0.0760
5866724,K00085.01,CANDIDATE,5.859935955,3.7820000e-06,-3.7820000e-06,2.56,0.10,-1.500e-01,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970
5866724,K00085.02,CANDIDATE,2.154911236,2.5070000e-06,-2.5070000e-06,1.42,0.06,-8.000e-02,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970
5866724,K00085.03,CANDIDATE,8.131213890,1.9020000e-05,-1.9020000e-05,1.58,0.06,-1.000e-01,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970
10593626,K00087.01,CANDIDATE,289.864067000,1.2100000e-03,-1.2100000e-03,2.34,0.22,-2.300e-01,0.8860,0.0800,-0.0890,0.7990,0.0660,-0.0350
8056665,K00089.01,CANDIDATE,84.687752400,1.7780000e-04,-1.7780000e-04,3.37,0.58,-7.800e-01,1.7900,0.3110,-0.4150,1.3530,0.0960,-0.1780
8056665,K00089.02,CANDIDATE,207.582930600,5.7370000e-04,-5.7370000e-04,4.52,0.79,-1.040e+00,1.7900,0.3110,-0.4150,1.3530,0.0960,-0.1780
7941200,K00092.01,CANDIDATE,65.704527500,1.0610000e-04,-1.0610000e-04,2.78,0.42,-2.500e-01,1.0430,0.1580,-0.0920,1.0030,0.0720,-0.0640
6462863,K00094.01,CANDIDATE,22.342964828,3.4040000e-06,-3.4040000e-06,9.99,1.82,-1.500e+00,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740
6462863,K00094.02,CANDIDATE,10.423677439,7.1730000e-06,-7.1730000e-06,3.72,0.67,-5.600e-01,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740
6462863,K00094.03,CANDIDATE,54.319961510,3.3910000e-05,-3.3910000e-05,6.07,1.11,-9.100e-01,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740
6462863,K00094.04,CANDIDATE,3.743166733,5.6140000e-06,-5.6140000e-06,1.50,0.27,-2.300e-01,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740
5780885,K00097.01,CANDIDATE,4.885488596,2.6600000e-07,-2.6600000e-07,16.66,1.04,-7.000e-01,1.9090,0.1200,-0.0800,1.2360,0.1540,-0.0660
10264660,K00098.01,CANDIDATE,6.790120801,1.9050000e-06,-1.9050000e-06,9.86,0.72,-3.600e-01,2.0010,0.1460,-0.0730,1.3130,0.1700,-0.0850
4055765,K00100.01,CANDIDATE,9.966400400,1.2200000e-05,-1.2200000e-05,16.89,2.15,-4.290e+00,3.0790,0.3910,-0.7820,1.5950,0.1760,-0.1940
8456679,K00102.01,CANDIDATE,1.735136190,2.8200000e-07,-2.8200000e-07,3.27,0.54,-3.300e-01,1.0710,0.1770,-0.1090,1.0280,0.0740,-0.0670
2444412,K00103.01,CANDIDATE,14.910951770,1.2750000e-05,-1.2750000e-05,2.62,0.33,-1.700e-01,0.8990,0.1140,-0.0570,0.9320,0.0510,-0.0680
