# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May 12 10:17:15 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum >= 2
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Kepler,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.00000000,4.00000000,-4.00000000,0,,,,,,,,,591.16084,15.89142,-15.89142,0,Msini,0.330000,0.050000,-0.050000,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,Kepler,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,416.00000000,2.00000000,-2.00000000,0,,,,,603.87700,31.78300,-31.78300,0,603.87700,31.78300,-31.78300,0,Mass,,,,
KIC 10001893 b,KIC 10001893,1,1,3,Kepler,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.21970000,,,0,,,,,,,,,,,,,,,,,
KIC 10001893 c,KIC 10001893,1,1,3,Kepler,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.32528000,,,0,,,,,,,,,,,,,,,,,
KIC 10001893 d,KIC 10001893,1,1,3,Kepler,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.81161000,,,0,,,,,,,,,,,,,,,,,
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,440.78437550,0.00092080,-0.00092080,0,,,,0,,,,,,,,,,,,,0
KIC 5437945 b,KIC 5437945,1,1,2,Kepler,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,440.78130000,0.00563000,-0.00577000,0,6.400,1.600,-1.600,0,,,,,,,,,,,,,
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,440.78613400,0.00118100,-0.00118100,0,6.700,3.160,-1.610,0,,,,,,,,,,0.000000,,,0
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,440.78613400,0.00118100,-0.00118100,0,6.700,3.160,-1.610,0,,,,,,,,,,0.000000,,,0
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,440.78437550,0.00092080,-0.00092080,0,7.230,2.000,-2.000,0,,,,,,,,,,0.000000,,,0
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,440.78613400,0.00118100,-0.00118100,0,6.700,3.160,-1.610,0,,,,,,,,,,0.000000,,,0
KIC 5437945 b,KIC 5437945,0,1,2,Kepler,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,440.78613400,0.00118100,-0.00118100,0,6.050,2.340,-0.820,0,,,,,,,,,,,,,
KIC 8540376 b,KOI-7892,1,1,3,Kepler,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,31.80990000,0.00919000,-0.00933000,0,4.100,2.200,-1.900,0,,,,,,,,,,,,,
KIC 8540376 c,KOI-7892,1,1,3,Kepler,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,75.20000000,38.90000000,-1.10000000,0,2.400,1.900,-1.400,0,,,,,,,,,,,,,
KIC 9663113 b,KIC 9663113,1,1,2,Kepler,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,572.38470000,0.00583000,-0.00567000,0,4.600,0.600,-0.700,0,,,,,,,,,,,,,
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,572.37663200,0.00621500,-0.00621500,0,5.800,1.040,-0.770,0,,,,,,,,,,0.000000,,,0
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,572.39790000,0.00800000,-0.00800000,0,5.000,1.700,-1.700,0,,,,,,,,,,0.000000,,,0
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,572.38327700,0.00707000,-0.00707000,0,3.780,1.390,-0.460,0,,,,,,,,,,0.000000,,,0
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,572.38327700,0.00707000,-0.00707000,0,3.780,1.390,-0.460,0,,,,,,,,,,0.000000,,,0
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,572.37663200,0.00621500,-0.00621500,0,,,,0,,,,,,,,,,,,,0
KIC 9663113 b,KIC 9663113,0,1,2,Kepler,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,9.935,0.960,-0.669,0,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,17.85523216,0.00003429,-0.00003429,0,14.598,0.687,-0.687,0,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,17.85521970,0.00000377,-0.00000377,0,14.630,8.540,-3.180,0,,,,,,,,,,0.000000,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,17.85521970,0.00000377,-0.00000377,0,14.630,8.540,-3.180,0,,,,,,,,,,0.000000,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,17.85521970,0.00000377,-0.00000377,0,18.370,5.640,-3.650,0,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,14.433,0.624,-0.591,0,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=IVSHINA__AMP__WINN_2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..259...62I/abstract target=ref>Ivshina &amp; Winn 2022</a>,17.85523290,0.00000330,-0.00000330,0,,,,,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,17.85522168,0.00000368,-0.00000368,0,13.160,2.570,-0.650,0,,,,,,,,,,0.000000,,,0
KOI-12 b,KOI-12,1,1,2,Kepler,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,17.85518200,0.00000800,-0.00000600,0,13.787,0.673,-0.560,0,349.61300,1112.40500,-254.26400,0,349.61300,1112.40500,-254.26400,0,Mass,0.340000,0.080000,-0.070000,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,17.85522584,0.00000064,-0.00000064,0,,,,,,,,,,,,,,,,,
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,17.85522168,0.00000368,-0.00000368,0,,,,0,,,,,,,,,,,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,17.85514900,0.00001000,-0.00001000,0,13.400,6.600,-6.600,0,,,,,,,,,,0.000000,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,17.85523000,0.00000100,-0.00000100,0,17.262,5.044,-5.044,0,1690.85560,1941.94130,-1941.94130,0,1690.85560,1941.94130,-1941.94130,0,Mass,0.720000,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,17.85523009,0.00000028,-0.00000028,0,,,,,,,,,,,,,,,,,
