# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May 12 10:14:28 2023
#
# User preference: *
#
# CONSTRAINT:  where (koi_pdisposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_count >= 2)
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_count:      Number of Planets
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
kepid,kepoi_name,kepler_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
10797460,K00752.01,Kepler-227 b,CANDIDATE,9.488035570,2.7750000e-05,-2.7750000e-05,2.26,2.600e-01,-1.500e-01,2,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
10797460,K00752.02,Kepler-227 c,CANDIDATE,54.418382700,2.4790000e-04,-2.4790000e-04,2.83,3.200e-01,-1.900e-01,2,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
10872983,K00756.01,Kepler-228 d,CANDIDATE,11.094320540,2.0360000e-05,-2.0360000e-05,3.90,1.270e+00,-4.200e-01,3,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
10872983,K00756.02,Kepler-228 c,CANDIDATE,4.134435120,1.0460000e-05,-1.0460000e-05,2.77,9.000e-01,-3.000e-01,3,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
10872983,K00756.03,Kepler-228 b,CANDIDATE,2.566588970,1.7810000e-05,-1.7810000e-05,1.59,5.200e-01,-1.700e-01,3,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
10910878,K00757.01,Kepler-229 c,CANDIDATE,16.068646740,1.0880000e-05,-1.0880000e-05,5.76,2.200e-01,-4.900e-01,3,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
10984090,K00112.02,Kepler-466 c,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,1.16,1.700e-01,-1.200e-01,2,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
10601284,K00749.01,Kepler-226 c,CANDIDATE,5.349553819,8.8340000e-06,-8.8340000e-06,2.55,1.600e-01,-2.400e-01,3,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
10601284,K00749.02,Kepler-226 b,CANDIDATE,3.941052210,1.0940000e-05,-1.0940000e-05,1.70,1.100e-01,-1.600e-01,3,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
10601284,K00749.03,Kepler-226 d,CANDIDATE,8.109048070,6.7870000e-05,-6.7870000e-05,1.30,9.000e-02,-1.200e-01,3,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
10662202,K00750.01,Kepler-662 b,CANDIDATE,21.676991930,7.0100000e-05,-7.0100000e-05,2.95,1.200e-01,-2.300e-01,4,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
10910878,K00757.02,Kepler-229 d,CANDIDATE,41.197255020,9.3450000e-05,-9.3450000e-05,3.86,1.500e-01,-3.300e-01,3,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
10910878,K00757.03,Kepler-229 b,CANDIDATE,6.252962249,9.5770000e-06,-9.5770000e-06,2.65,1.000e-01,-2.300e-01,3,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
11018648,K00759.01,Kepler-230 b,CANDIDATE,32.628766720,5.8010000e-05,-5.8010000e-05,3.36,7.600e-01,-3.300e-01,2,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
11018648,K00759.02,Kepler-230 c,CANDIDATE,91.773286200,7.5180000e-04,-7.5180000e-04,2.12,4.800e-01,-2.100e-01,2,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
9579641,K00115.01,Kepler-105 b,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,2.94,4.300e-01,-3.800e-01,3,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
12366084,K00787.01,Kepler-232 b,CANDIDATE,4.431238488,6.1060000e-06,-6.1060000e-06,3.25,4.700e-01,-2.500e-01,3,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
12366084,K00787.02,Kepler-232 c,CANDIDATE,11.379369860,2.4150000e-05,-2.4150000e-05,3.95,5.700e-01,-3.100e-01,3,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
8395660,K00116.01,Kepler-106 c,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,2.64,4.000e-01,-2.700e-01,4,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
9579641,K00115.02,Kepler-105 c,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,1.79,2.600e-01,-2.300e-01,3,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
11754553,K00775.01,Kepler-52 c,CANDIDATE,16.384899880,5.2190000e-05,-5.2190000e-05,2.00,9.000e-02,-1.000e-01,3,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
11754553,K00775.02,Kepler-52 b,CANDIDATE,7.877416300,1.4930000e-05,-1.4930000e-05,2.16,9.000e-02,-1.100e-01,3,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
11754553,K00775.03,Kepler-52 d,CANDIDATE,36.445400100,1.8090000e-04,-1.8090000e-04,1.99,9.000e-02,-9.000e-02,3,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
11918099,K00780.01,Kepler-675 b,CANDIDATE,2.337437946,1.9510000e-06,-1.9510000e-06,2.34,1.700e-01,-9.000e-02,2,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
11918099,K00780.02,,CANDIDATE,7.240661200,1.6170000e-05,-1.6170000e-05,19.45,1.400e+00,-7.100e-01,2,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
9579641,K00115.03,,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,0.55,8.000e-02,-7.000e-02,3,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
12066335,K00784.01,Kepler-231 c,CANDIDATE,19.271538920,4.1450000e-05,-4.1450000e-05,1.93,1.000e-01,-1.200e-01,2,0.5600,0.0300,-0.0340,0.5760,0.0310,-0.0350
12066335,K00784.02,Kepler-231 b,CANDIDATE,10.065243170,1.4900000e-05,-1.4900000e-05,1.91,1.000e-01,-1.200e-01,2,0.5600,0.0300,-0.0340,0.5760,0.0310,-0.0350
8395660,K00116.02,Kepler-106 e,CANDIDATE,43.844397210,9.6130000e-05,-9.6130000e-05,2.87,4.300e-01,-3.000e-01,4,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
3342970,K00800.01,Kepler-234 b,CANDIDATE,2.711504086,3.8000000e-06,-3.8000000e-06,3.12,1.020e+00,-3.400e-01,2,1.0760,0.3530,-0.1180,1.1690,0.1410,-0.1730
3342970,K00800.02,Kepler-234 c,CANDIDATE,7.212037480,1.5530000e-05,-1.5530000e-05,3.32,1.090e+00,-3.600e-01,2,1.0760,0.3530,-0.1180,1.1690,0.1410,-0.1730
12470844,K00790.01,Kepler-233 b,CANDIDATE,8.472379110,1.5600000e-05,-1.5600000e-05,2.59,3.700e-01,-2.200e-01,2,0.7880,0.1130,-0.0660,0.8840,0.0610,-0.1130
12470844,K00790.02,Kepler-233 c,CANDIDATE,60.418936900,5.0430000e-04,-5.0430000e-04,2.36,3.400e-01,-2.000e-01,2,0.7880,0.1130,-0.0660,0.8840,0.0610,-0.1130
4139816,K00812.02,Kepler-235 d,CANDIDATE,20.060363360,5.8390000e-05,-5.8390000e-05,1.96,1.300e-01,-1.600e-01,4,0.4930,0.0330,-0.0400,0.5020,0.0310,-0.0380
4139816,K00812.03,Kepler-235 e,CANDIDATE,46.184203900,2.6540000e-04,-2.6540000e-04,1.83,1.200e-01,-1.500e-01,4,0.4930,0.0330,-0.0400,0.5020,0.0310,-0.0380
8395660,K00116.04,Kepler-106 d,CANDIDATE,23.980085400,2.0030000e-04,-2.0030000e-04,1.31,2.000e-01,-1.300e-01,4,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
4139816,K00812.04,Kepler-235 c,CANDIDATE,7.825021680,3.8900000e-05,-3.8900000e-05,1.20,8.000e-02,-1.000e-01,4,0.4930,0.0330,-0.0400,0.5020,0.0310,-0.0380
3832474,K00806.01,Kepler-30 d,CANDIDATE,143.206304700,2.3480000e-04,-2.3480000e-04,8.90,8.200e-01,-3.800e-01,5,0.8670,0.0790,-0.0370,0.9860,0.0350,-0.0820
8395660,K00116.03,Kepler-106 b,CANDIDATE,6.164876000,4.6350000e-05,-4.6350000e-05,0.79,1.300e-01,-8.000e-02,4,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
3832474,K00806.02,Kepler-30 c,CANDIDATE,60.324942160,3.2070000e-05,-3.2070000e-05,12.19,1.110e+00,-5.200e-01,5,0.8670,0.0790,-0.0370,0.9860,0.0350,-0.0820
3832474,K00806.03,Kepler-30 b,CANDIDATE,29.159861500,2.5340000e-04,-2.5340000e-04,1.91,2.000e-01,-7.000e-02,5,0.8670,0.0920,-0.0340,0.9860,0.0280,-0.0790
4139816,K00812.01,Kepler-235 b,CANDIDATE,3.340218842,3.1770000e-06,-3.1770000e-06,2.03,1.300e-01,-1.700e-01,4,0.4930,0.0330,-0.0400,0.5020,0.0310,-0.0380
