kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,kepler_name,koi_count,e,M_p
6850504,70.01,CANDIDATE,10.854095934000002,4.977e-06,-4.977e-06,2.87,0.15,0.07,0.888,0.016,-0.015,0.922,0.043,-0.054000000000000006,Kepler-20c,5,0.076,11.1
6850504,70.02,CANDIDATE,3.696121272,2.394e-06,-2.394e-06,1.71,0.05,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054000000000000006,Kepler-20b,5,0.083,9.7
6850504,70.03,CANDIDATE,77.6114427,0.0001536,-0.0001536,2.49,0.07,0.05,0.888,0.016,-0.015,0.922,0.043,-0.054000000000000006,Kepler-20d,5,0.082,13.4
6850504,70.04,CANDIDATE,6.09855603,2.536e-05,-2.536e-05,0.81,0.04,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054000000000000006,Kepler-20e,5,0.092,0.76
6850504,70.05,CANDIDATE,19.5776073,0.0001427,-0.0001427,0.86,0.05,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054000000000000006,Kepler-20f,5,0.094,1.4
11904151,72.01,CANDIDATE,0.837491225,3.03e-07,-3.03e-07,1.46,0.04,0.03,1.0659999999999998,0.022000000000000002,-0.022000000000000002,0.93,0.071,-0.063,Kepler-10b,2,0,3.26
11904151,72.02,CANDIDATE,45.29422297,5.6e-05,-5.6e-05,2.3,0.06,0.05,1.0659999999999998,0.022000000000000002,-0.022000000000000002,0.93,0.071,-0.063,Kepler-10c,2,0.130,11.4
10187017,82.01,CANDIDATE,16.145671932,7.44e-06,-7.44e-06,2.48,0.04,0.21,0.741,0.011000000000000001,-0.011000000000000001,0.7659999999999999,0.032,-0.038,Kepler-102e,6,0.089,4.7
10187017,82.02,CANDIDATE,10.31174786,1.226e-05,-1.226e-05,1.34,0.02,0.12,0.741,0.011000000000000001,-0.011000000000000001,0.7659999999999999,0.032,-0.038,Kepler-102d,6,0.092,3.0
10187017,82.03,CANDIDATE,27.4536146,0.0001077,-0.0001077,0.95,0.11,0.1,0.741,0.011000000000000001,-0.011000000000000001,0.7659999999999999,0.032,-0.038,Kepler-102f,6,0.10,4.3
10187017,82.04,CANDIDATE,7.07136119,3.085e-05,-3.085e-05,0.63,0.18,0.05,0.741,0.011000000000000001,-0.011000000000000001,0.7659999999999999,0.032,-0.038,Kepler-102c,6,0.094,1.7
10187017,82.05,CANDIDATE,5.28691996,2.947e-05,-2.947e-05,0.51,0.1,0.05,0.741,0.011000000000000001,-0.011000000000000001,0.7659999999999999,0.032,-0.038,Kepler-102b,6,0.100,1.1
4914423,108.01,CANDIDATE,15.96532718,1.368e-05,-1.368e-05,3.34,0.07,0.19,1.4380000000000002,0.03,-0.032,1.3119999999999998,0.057999999999999996,-0.054000000000000006,Kepler-103b,2,0.093,9.8
